,new_title,new_description,new_link,new_price,new_ship_price,new_ship_how
26,Nested Rings 3D Illusion Light  3D LED Illusion Lamp  Night Light,"This beautiful nested ring 3D illusion lamp will light up any room or office.  This custom 3D illusion lamp is precision laser cut and hand-polished for amazing clarity and brightness.  Made to order with 1/8&quot; acrylic and brought to life using the latest in laser technology this 3D light will be sure to impress friends and family alike.  The lamp base is powered by a USB cable (included) or 3-AA batteries (not included).  The included infrared remote control allows you to display 16 different colors, 4 different light shows, and adjust the brightness all without moving from your favorite spot.  Make this light even more special with a message or name engraved right on the lamp!  For an additional fee, you can choose the custom message/name option above to create a true one-of-a-kind lamp.  Want to create an even more amazing piece?  Contact us today to discuss our custom options.",https://www.etsy.com/listing/912879817/nested-rings-3d-illusion-light-3d-led?,34.99,Jan 16-23 ,"     Ships from Verona, WI "
27,3D Game Control Lamp Night Light 3D Illusion lamp for Kids Changing with Remote Kids Bedroom Decor Xmas Holiday Birthday Gifts Boys Girls,"The game control 3D illusion lamp can show up amazing 3D visual effect. The lamp is a UNIQUE GIFT for children, family and friends of all ages.   The LED light is soft and uniform, the warm glow is harmless to children&#39;s eyes. The night light can help your child feel safe and fall asleep faster. The remote control makes the lamp dimmable, you can freely choose the brightness you need.   The lamp comes in multiple colors so there is more option from which you can choose.   3D game controller night light would be a great home decor light for Home, Office, Bedroom, Bars, etc. Perfect supplies for kids toys, toddler toys, birthday gifts, Thanksgiving gifts, housewarming gifts, graduation gifts, Christmas gifts for kids, baby, toddlers, friends.   The optical acrylic plate with laser engraving can present interesting patterns to you, and your family and friends will surely marvel at it.  Please NOTE: 3D is just visual, the lamp itself is flat",https://www.etsy.com/listing/913427102/3d-game-control-lamp-night-light-3d?,59.98,Jan 21-Feb 11 ,     Ships  
28,3D Lamp Horse Night Light  1 Color,"Main Features: ❖ Low power consumption, high quality LEDs are bright but will not overheat. ❖ PERFECT gift for Valentine&#39;s day or an anniversary, show that special someone how much they mean to you!  Package includes: ✔ 1* Optical acrylic panel, size: 200*150*4mm ✔ 1* LED ABS Base, size: 85*40mm ✔ 1* USB cable, length: 1m ✔ 1* User manual  IMPORTANT: ● Please remove protective film before use. ● To avoid leaving fingerprints, only hold the edge instead of front.  SHIPPING: We continue to offer FREE international shipping, however, due to COVID, orders may be held at customs which may increase shipping times. 100% guaranteed delivery! Please contact us about any concerns :)",https://www.etsy.com/listing/912451002/3d-lamp-horse-night-light-1-color?,20.93,Jan 26-Feb 17 ,     Ships from United States 
29,Death Star 3D Illusion Light  3D LED Illusion Lamp  Star Wars Light,"This Death Star 3D illusion lamp will seek to destroy any Rebel that gets into your room or office.  This custom 3D illusion lamp is precision laser cut and hand-polished for amazing clarity and brightness.  Made to order with 1/8&quot; acrylic and brought to life using the latest in laser technology this 3D light will be sure to impress friends and family alike.  The lamp base is powered by a USB cable (included) or 3-AA batteries (not included).  The included infrared remote control allows you to display 16 different colors, 4 different light shows, and adjust the brightness all without moving from your favorite spot.  Make this light even more special with a message or name engraved right on the lamp!  For an additional fee, you can choose the custom message/name option above to create a true one-of-a-kind lamp.  Want to create an even more amazing piece?  Contact us today to discuss our custom options.",https://www.etsy.com/listing/746982618/death-star-3d-illusion-light-3d-led?,34.99,Jan 16-23 ,"     Ships from Verona, WI "
30,Human Heart - 3D Printed Accent Lamp,"I specialize in unique and custom 3D printed lamps and sculptures.  My accent lamps are fitted with a laser cut display base made of real hand-stained wood, complete with sturdy high-grip rubber feet and a powerful LED bulb. Pick your favorite color, or upgrade to our beautiful color-changing remote controlled bulb.  Add custom text for special occasions such as birthdays or professional gifts . . . and if you need something truly unique that I don’t currently carry, I would be happy to quote a custom project just for you.  At ShoeBox Lighting, every product is a work of art.  https://youtu.be/xERkYQZ-2vA   Attribution: Heart by Dusle (October 05, 2015) - https://www.thingiverse.com/thing:1053634",https://www.etsy.com/listing/774276385/human-heart-3d-printed-accent-lamp?,59.00,Jan 21-Feb 2 ,"     Ships from Milwaukee, WI "
31,3D printed SpaceX Falcon Heavy Launch LED Lamp with dimmer switch,"ATTENTION: MOST LIKELY arrive after New Year&#39;s Day. If you have an urgent order, please message me to set a specific shipping date. Thank you!  SpaceX Falcon Heavy launch lamp with a dimmer switch and standard household power plug.  Color printed logos on the base.   1.	Rocket: Out of the box the rocket is packaged separately. To finish the assemble just stick the engine end of the rocket into the holes on top of the exhaust (the lamp cover). Be careful when you do it, so nothing will break.  2.	Light bulb: The light bulb in the package is an E12 Dimmable 3W LED light. If you wish to change the light bulb in the future, please make sure to use LED instead of regular ones. Regular light bulbs would get too hot that might melt the plastic cover, which could be a fire hazard. Also, make sure it’s dimmable, otherwise, it would be noisy and has a short lifespan.  3.	The rocket exhaust lamp cover: The lamp cover is snacked on to the base, no glue, no hinge for easy access to the light bulb. When assembling, just position the little ball-like part of the cover to the left bottom corner of the base then push down until you hear the clicks.",https://www.etsy.com/listing/827952523/3d-printed-spacex-falcon-heavy-launch?,50.00,Jan 20-Feb 1 ,"     Ships from Jonesboro, AR "
32,SATURN Multicolor Nightlight - 3D Printed Planetary Night Light For Kids and Adults Available 8in diameter,"This 3D printed Saturn lets you experience its beautiful aura in your own home. It is available in an 8in diameter and includes a beige 3d printed geometric base. This lamp features blue, green, turquoise, yellow, red, violet, and white in a multicolor effect that fades every few seconds. You can choose the color you like by pressing a button on the side that switches through. Saturn lamp is powered by a 4 Bulb LED and includes a three foot usb cable compatible with any phone charging brick. This makes the perfect night light for kids and adults alike.   Enjoy free shipping on all orders in the USA.   **All night use is not recommended. LED has life use of 10k hours or 10 years of continuous use. For optimal results use Moon lamp only a few hours at a time.",https://www.etsy.com/listing/743422948/saturn-multicolor-nightlight-3d-printed?,51.00,Jan 23-Feb 2 ,"     Ships from Los Angeles, CA "
33,3D Skull Lamp  Skull Decor  Skull Night Light  3D Wireframe Lamp  Skull Light  Skull Gift  Gift for him  Gift for her  Birthday Gift,"Sure to catch attention in any room, this design of a 3D wireframe skull is etched in 3mm cast acrylic. It is approximately 7-3/8&quot; x 5&quot; in size. Included with the acrylic design is our LED Lamp Base, one remote, and one USB cable.  Choose between battery powered (3 x AA batteries required, not included) or plug it in with the included USB cable.  Simply place the acrylic design into the lamp base and turn it on.  Watch the super bright LED lights change colors or set it steady on a specific color.  The base adds about 3/4-inch in height, making the overall height about 8-1/8 inches.  ★★★ You&#39;ll Love Our LED Lamps! ★★★  ✔ 9 Long Life Super Bright LED lights  ✔ 16-color LED base  ✔ 4 color-changing modes including flash, strobe, fade, and smooth  ✔ Adjust the brightness of the LED&#39;s with the included remote  ✔ Energy saving: 3*AA Batteries (batteries not included) or USB connection (Suggested), 5 volts power  ✔ Laser etched acrylic design - durable and made to last!  ✔ Multiple Application Scenario: Suitable for kids and adults, living room, bedroom, hallway or theme shop  Change the mood of any room by selecting one of 16 different color modes just by pushing the control button on the base. The light is powered by 9 long life, super bright LED lights, which never get hot and use very little energy. It is the perfect night light for children, a really creative and captivating gift for kids, lovers and friends. Your LED light kit includes the super bright, energy efficient base, a micro USB power cable, and a convenient remote control! Perfect for gifts! This item makes for a nice decoration for any bedroom, children&#39;s room, living room, bar, shop, cafe, restaurant, office, etc. as decorative lights. Perfect for displaying glass, crystal and acrylic pieces. The base can operate using the included USB cable or using (3) AA batteries. Batteries are not included.  To change the colors simply tap the button on the top of the LED base or use the included remote! Adjustable 16 colors: 16 colors changing / Remote Control function / Dimmable / 4 modes of color flashing (Flash, Strobe, Fade and Smooth)  Complete contents: (1) Acrylic Design (1) 16-color LED Lamp Base (1) USB Cable (1) Remote  Thank you for considering my products and hope you enjoy shopping with us.",https://www.etsy.com/listing/907917503/3d-skull-lamp-skull-decor-skull-night?,25.49,Jan 15-21 ,"     Ships from Rochester, NH "
34,NEW One Punch Man Anime LED 3D Lamp 7 Colors Light Saitama,"Cracked Base Style.   Comes with Remote.  Color Changing.   Plugs right into wall.   Saitama from One Punch Man.   Package Includes:      1x Acrylic Plate     1x ABS Base     1x USB cable     1x Remote Control.     Made combing man-made fibres with natural materials, Bulbing is a light like no other.  Although your eyes may not believe it, the top section is an acrylic piece.  Measuring only 5mm in thickness! It sits upon a wooden base creating a stylish and elegant lamp. Highly detailed, accurate, fine lines come together to create the 3D illusion which appears to have shape and depth but its all a trick of the mind! The Bulbing lamp is illuminated using LEDs that never get hot yet produce a warming glow. Because its cold to touch its perfect for children&#39;s bedrooms, but rest assured it will look great in any room. The top section simply works by reflecting light and illuminating etched lines within the surface, plus it can be easily removed, and replaced with a new design to suit your mood or room.",https://www.etsy.com/listing/922995636/new-one-punch-man-anime-led-3d-lamp-7?,27.99,Jan 26-Feb 3 ,     Ships from United States 
35,Superhero Wonder Woman 3D 3D night light remote control LED lamp desktop desk lamp USB lamp home decoration room,it can be changed into seven different colors oh  put in the bedroom study living room can add fun to life  Christmas Valentine&#39;s day birthday gift  can also be used to decorate the party Size: 120mm (4.7inch) Material: Special material Lamp source: LED lamp Custom content can be carved in black and on both sides,https://www.etsy.com/listing/936107191/superhero-wonder-woman-3d-3d-night-light?,105.87,Jan 20-Feb 1 ,     Ships from United States 
36,Creative Zelda Triangle lamp 3D wooden night light remote controlled LED desk lamp home decoration,"This product is a very creative LED lamp.  If you buy a set of LED lamp and put it in your bedroom or living room, you can add a lot of fun to your life.  It can also be used in parties and various holiday gifts. Size: Base Angle is about 200mm(7.9inch) Material: real wood + acrylic Custom content can be carved on the side and underneath",https://www.etsy.com/listing/936045949/creative-zelda-triangle-lamp-3d-wooden?,112.15,Jan 20-Feb 1 ,     Ships from United States 
37,Gothic Floral Rose envelope phone leather wallet case for iPhone X XS XR 11 Pro Max 8 7 Plus Samsung S20 S10 S9 S8 Note 8 9 10 Plus MN0750,"***Product Description***  Handmade Style Unique Charms Phone Wallet Case   The wallet case is new, made of high quality synthetic leather material, Secure fit, easily applied and removed, easy access to all device controls, after glue the style charms on the wallet case by my hand, every combination likes telling a beautiful story, unique with handmade.   Package includes:  1 X Gothic Floral Rose Style Handmade Phone Wallet Case (According to your choice on Device)   Shipping time:  Order will be shipped by Hong Kong Post with tracking no., the shipment usually take around 2-3 week to most countries, and the shipping period may also vary due to holidays, destination, local customs, and other factors, if you have any problem with the shipment, please contact me with by message.",https://www.etsy.com/listing/702305237/gothic-floral-rose-envelope-phone?,22.98,Feb 9-19 ,     Ships from Hong Kong 
38,Antique gothic skull envelope phone leather wallet case for iPhone X XS XR 11 Pro Max Samsung S20 Ultra S10 S9 S8 Note 8 9 10 Plus MN1628,"***Product Description***  Handmade Style Unique Charms Phone Wallet Case   The wallet case is new, made of high quality synthetic leather material, Secure fit, easily applied and removed, easy access to all device controls, after glue the style charms on the wallet case by my hand, every combination likes telling a beautiful story, unique with handmade.   Package includes:  1 X Antique Gothic Skull Style Handmade Phone Wallet Case (According to your choice on Device)   Shipping time:  Order will be shipped by Hong Kong Post with tracking no., the shipment usually take around 2-3 week to most countries, and the shipping period may also vary due to holidays, destination, local customs, and other factors, if you have any problem with the shipment, please contact me with by message.",https://www.etsy.com/listing/749748518/antique-gothic-skull-envelope-phone?,23.09,Feb 9-19 ,     Ships from Hong Kong 
39,Handmade Decorative Resin hair comb with real dried handpicked flowers,"• Handmade Epoxy Resin Comb   • All flowers are handpicked, handpressed and dried by me   • 17 cm long   • All products are handmade so all can have just similar but not identical designs or flowers  Please note that: if you are choosing the primary color as &quot;clear&quot; the comb will have no flowers in it. By choosing any other color, for example &quot;pink&quot;, the color scheme of the comb will be pink (it will be made with pink flowers). Thank you",https://www.etsy.com/listing/834440718/handmade-decorative-resin-hair-comb-with?,10.24,Jan 22-Mar 25 ,     Ships from Lithuania 
40,Resin Foil Planets Transparency Sheet,One large image about 5 inches tall. 5 small moons about 1 inch tall. 3 planet clusters about 1.75 inches tall. Foil sheet for crafting.  Pictured: Holographic Blue Message me for customs. **Disclaimer: This is a handmade product and there might be slight imperfections. Everything is made with love 💕,https://www.etsy.com/listing/846022675/resin-foil-planets-transparency-sheet?,5.50,Jan 21-Feb 2 ,"     Ships from Winston Salem, NC "
41,"Tennis Chain Butterfly Choker, Cuban Link Choker SET, Butterfly Tennis Necklace, Butterfly Choker, Butterfly Necklace",This necklace set includes ONE 15 inch 12mm Cuban link choker and TWO adjustable butterfly chokers.,https://www.etsy.com/listing/803630253/tennis-chain-butterfly-choker-cuban-link?,136.99,Feb 1-23 ,     Ships  
42,Turkish Jewelry Handmade Ottoman Style Hurrem Sultan&#39;s Necklace With Rhinestones,"So elegant,chic look and has the right sparkle!   Turkish Handmade Ottoman Style Hurrem Sultan&#39;s Necklace With Rhinestones  Item Description   Main Stone:	Rhinestone	  Main Color:	Gold	Metal:	Alloy Stone: Swarovski Brand:	&quot;Handmade&quot; Country of Manufacture:	Turkey	Country/Region of Manufacture:	Turkey  Fantastic hand-made brand new necklace. The photo shows exact item you will be receiving. It is made from silver, copper and brass alloy. There is a number of Swarovski high polished crystals on this alloy. The glow of the crystals as shiny as real diamonds. It never oxidates, it may only become lusterless because of oxide level of skin. But it could be given a polished in a jewelery shop.       *** If you have any questions about the brooches or anything else please will free to contuct us.***   It is shipped to US, Canada and  by economy shipping from outside US. Shipping will be done in two days after receiving payment. The economy shipping takes 11-20 business days. If you want expedited mail, you will pay the cost of shipment. Please see the details about expedited shipment.      *** If you buy more than one of our items, shipping cost is based on the weight of items. You will automatically receive discount on each additional item. Please contact us about expedited mail and its cost for multiple items. ***",https://www.etsy.com/listing/634768356/turkish-jewelry-handmade-ottoman-style?,100.00,1 business day,     Ships from Turkey 
43,Turkish Jewelry Handmade Ottoman Style Hurrem Sultan&#39;s Necklace With Rhinestones   0567,"So elegant,chic look and has the right sparkle!  Turkish Handmade Ottoman Style Hurrem Sultan&#39;s Necklace With Rhinestones   0567  Item Description   Main Stone:	Rhinestone	  Main Color:	Gold	Metal:	Alloy Stone: Swarovski Brand:	&quot;Handmade&quot; Country of Manufacture:	Turkey	Country/Region of Manufacture:	Turkey  Fantastic hand-made brand new necklace. The photo shows exact item you will be receiving. It is made from silver, copper and brass alloy. There is a number of Swarovski high polished crystals on this alloy. The glow of the crystals as shiny as real diamonds. It never oxidates, it may only become lusterless because of oxide level of skin. But it could be given a polished in a jewelery shop.   *** If you have any questions about the brooches or anything else please will free to contuct us.***    It is shipped to US, Canada and  by economy shipping from outside US. Shipping will be done in two days after receiving payment. The economy shipping takes 11-20 business days. If you want expedited mail, you will pay the cost of shipment. Please see the details about expedited shipment.    *** If you buy more than one of our items, shipping cost is based on the weight of items. You will automatically receive discount on each additional item. Please contact us about expedited mail and its cost for multiple items. ***",https://www.etsy.com/listing/652979507/turkish-jewelry-handmade-ottoman-style?,50.00,1 business day,     Ships from Turkey 
44,Among Us Plushies - Imposter,"Among Us is a social deduction game that has become very popular lately. Part of the fun is the characters you play as - adorable brightly colored bean-shaped crewmates running around doing tasks around the spaceship. I&#39;ve recently started sewing these plushies! If you want one of these beans for yourself, now you can get one!   Things you can do with your squishy mini-imposter: - Put them on your head! - Bring them with you as you fake your daily tasks! - Flex on your friends! - Or kill your friends with it!  Is the color you want out of stock? Chances are, one in that color is being made! Send me a message on  if you have a color you like - your feedback helps me know what colors I need to make more of! Please be aware that new plushies take a while to cut, sew and stuff - hand-sewing takes time - but you can be assured that the utmost care and love goes into each plushie! Thank you for your patience!  Size: approx 6&quot; x 4&quot; x 4&quot;  A big thanks to Witchcrafty for the pattern! Find her Youtube channel here: https://www.youtube.com/channel/UC6xtU8vnfNC-g1k_w1-82gA",https://www.etsy.com/listing/866754220/among-us-plushies-imposter?,30.00,Jan 14-21 ,"     Ships from Scarsdale, NY "
45,Among Us Plush  Among Us Plushie  Stuff Animal Plushies  Among Us Toys  Makes Sound when squeezed   Plushie Gifts for Game Fans,"❌   If you need before Christmas buy Express Shipping❌   ❌ ❌ ❌  Size of plushie is between 3.9&quot;x2.3&quot; and 4.5”x3.5”❌ ❌ ❌   Express ships in 24 hours, delivery takes 1-4 days. Fastest shipping on   FREE Shipping ships in 1-5 days, deliver takes 2-6 days  This is a great children&#39;s toy, birthday gift, Valentine&#39;s day gift, Christmas gift  Note: If you do not want all of the colors to be the same when buying more than one please specify on the &quot;Note to Seller&quot; section or on the &quot;Personalization&quot; section :)  ✅  [ PREMIUM MATERIAL ]: This plush Full of PP cotton filler and made of skin friendly silk wadding and soft plush, give you better skin touch feeling.And the face cover is made of 100 % Polyester, super soft and breathable, will not rub your face ✅  [RELIEVE STRESS] :Squeeze this soft plush to relieve your stress; Can use as nap pillow/ hug pillow/ office noon break nap pillow/ plush toys, meet your all needs. As a home decoration, make your home full of love and warmth. ✅ [Washable] : easy to clean, use a small amount of soap and water to remove stains, and dry naturally ✅ [Features] : Built-in plastic BB sounder, it will make a chirping sound when you pinch it ✅ [WIDE RANGE OF APPLICATIONS:]They suit for bedroom, living room, home, office, nursery bed,,car and every place you like. The cute Plush pillow will be the presence of the best. ✅ [PERFECT GIFT FOR CHRISTMAS]: The most suitable gift for game fans, but also a very cute decoration.CUSTOMER SERVICE & GUARANTEE -- If you have any questions, please feel free to contact us, we guarantee that you will be satisfied  Real color may slightly different from pictures due to computer screen&#39;s resolution, brightness and contrast.  Size of plushie : 4.5”x3.5”  *****Customer service and satisfaction is my top priority. If you have any issue or question about the products or your order, please contact me first through  messenger. I will reply to you as soon as possible to resolve any issue and answer questions.******",https://www.etsy.com/listing/898588166/among-us-plush-among-us-plushie-stuff?,66.99,Jan 13-19 ,     Ships from United States 
46,Among Us Plush  Valentines Gift for HER & HIM  Stuff Animal Plushies  Among Us Toys  Makes Sound when squeezed  Gifts for Game Fans,"❌   If you need before Christmas buy Express Shipping❌   ❌ ❌ ❌  Size of plushie is between 3.9&quot;x2.3&quot; and 4.5”x3.5”❌ ❌ ❌   Express ships in 24 hours, delivery takes 1-4 days. Fastest shipping on   FREE Shipping ships in 1-5 days, deliver takes 2-6 days  This is a great children&#39;s toy, birthday gift, Valentine&#39;s day gift, Christmas gift  Note: If you do not want all of the colors to be the same when buying more than one please specify on the &quot;Note to Seller&quot; section or on the &quot;Personalization&quot; section :)  ✅  [ PREMIUM MATERIAL ]: This plush Full of PP cotton filler and made of skin friendly silk wadding and soft plush, give you better skin touch feeling.And the face cover is made of 100 % Polyester, super soft and breathable, will not rub your face ✅  [RELIEVE STRESS] :Squeeze this soft plush to relieve your stress. As a home decoration, make your home full of love and warmth. ✅ [Washable] : easy to clean, use a small amount of soap and water to remove stains, and dry naturally ✅ [Features] : Built-in plastic BB sounder, it will make a chirping sound when you pinch it ✅ [WIDE RANGE OF APPLICATIONS:]They suit for bedroom, living room, home, office, nursery bed,,car and every place you like. The cute Plush pillow will be the presence of the best. ✅ [PERFECT GIFT FOR CHRISTMAS]: The most suitable gift for game fans, but also a very cute decoration.CUSTOMER SERVICE & GUARANTEE -- If you have any questions, please feel free to contact us, we guarantee that you will be satisfied  Real color may slightly different from pictures due to computer screen&#39;s resolution, brightness and contrast.  *****Customer service and satisfaction is my top priority. If you have any issue or question about the products or your order, please contact me first through  messenger. I will reply to you as soon as possible to resolve any issue and answer questions.******",https://www.etsy.com/listing/893338270/among-us-plush-valentines-gift-for-her?,125.99,Jan 13-19 ,     Ships from United States 
47,Julia Choker. Gold or Silver. Beautiful Multilayered Crystal Chain Choker. Elegant Evening Choker. Celebrity Choker. Trendy Choker.,Gorgeous sparkly multilayered crystal chain choker necklace.   Tarnish resistant silver or gold plating.   Excellent quality.   9&quot;(23cm) long + 5&quot;(12cm) chain extension   1.75&quot; (4cm) wide  Comes with a gift box.   Hoops in 3 sizes available as well.   https://www..com/listing/342818412/3-sizes-sparkly-crystal-hoop-earrings?ref=shop_home_active_9,https://www.etsy.com/listing/509622931/julia-choker-gold-or-silver-beautiful?,26.52,,
